日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-09-01,4958,臻鼎-KY,未知,電子零組件業,535.0,80.2,95,80,0,1.82,13197034,17477412,55,45,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,489.1,522.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,9.38,12.57,True
2026-09-01,3105,穩懋,未知,半導體業,492.0,78.8,90,95,40,1.25,11699854,10366877,-1385,332,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,445.8,471.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨、融券增加，可能有軋空動能,籌碼無明顯風險,10.36,24.61,True
2026-09-01,2330,台積電,未知,半導體業,2440.0,70.0,70,90,0,1.35,5965297,1514224,-323,12,已抓,觀察型：等待更明確突破或量價確認,2418.0,2445.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨,籌碼無明顯風險,0.91,1.79,False
2026-09-01,2455,全新,未知,通信網路業,524.0,61.5,100,30,40,1.98,-244088,3847959,1121,148,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,459.2,477.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人近3日合計買超,法人單日賣超、融資大增，散戶追高風險,14.11,28.27,True
2026-09-01,6669,緯穎,未知,電子工業,7800.0,56.3,90,25,20,1.41,-39058,-308324,-2,0,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,7139.0,7360.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,波段乖離過大,籌碼無明顯加分,法人單日賣超、法人近3日合計賣超,9.26,20.54,True
2026-09-01,2834,臺企銀,未知,金融保險,17.1,56.0,70,50,0,0.32,-2968307,36982181,-232,49,已抓,觀察型：等待更明確突破或量價確認,16.66,17.05,站上5日線、站上10日線、站上20日線、突破近20日高點、今日收漲,暫無明顯高風險訊號,法人近3日合計買超,法人單日賣超,2.64,3.56,True
2026-09-01,3711,日月光投控,未知,半導體業,610.0,55.8,60,65,0,1.28,7638608,-2952795,-1020,25,已抓,觀察型：等待更明確突破或量價確認,602.4,643.0,站上5日線、站上10日線、站上20日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、融資減少，籌碼較乾淨,法人近3日合計賣超,1.26,1.09,False
2026-09-01,2303,聯電,未知,半導體業,132.5,50.8,70,35,0,1.08,-20124788,68021925,16948,394,已抓,觀察型：等待更明確突破或量價確認,126.7,130.5,站上5日線、站上10日線、站上20日線、突破近20日高點、今日收漲,暫無明顯高風險訊號,法人近3日合計買超、融券增加，可能有軋空動能,法人單日賣超、融資大增，散戶追高風險,4.58,8.43,True
2026-09-01,2313,華通,未知,電子工業,252.0,50.5,60,50,0,0.92,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,241.5,260.0,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,暫無明顯高風險訊號,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,4.35,14.34,False
2026-09-01,2308,台達電,未知,電子工業,1865.0,50.5,60,50,0,0.84,-159654,486694,71,-1,已抓,觀察型：等待更明確突破或量價確認,1811.0,2005.0,站上5日線、站上10日線、站上20日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人近3日合計買超,法人單日賣超,2.98,4.7,False
